lfdn;tag;converted
740.0;Missing RE awareness at customer side;Lack of RE awareness
740.0;Missing customer involvement;Lack of involvement from the customer
740.0;Strict time schedule by customer;Lack of management
740.0;Poor requirements elicitation techniques;Insufficient development process
740.0;Insufficient stakeholder analysis;Process execution defects
742.0;Lack of communication channels;Lack of communication channels
742.0;Lack of change management at customer side;Lack of management
742.0;Stakeholder fluctuation;Changing project characteristics
758.0;Lack of change management at customer side;Lack of management
758.0;Missing technical knowledge;Lack of knowledge
758.0;Missing domain knowledge;Lack of knowledge
768.0;Unavailability of stakeholder;Lack of engagement
768.0;Poor project management;Lack of management
768.0;Customer does not know what he wants;Lack of knowledge
768.0;Lack of communication channels;Lack of communication channels
774.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
774.0;High quality expectation of customer;Lack of common understanding about goals
786.0;Lack of teamwork skills;Lack of knowledge
786.0;Missing domain knowledge;Lack of knowledge
795.0;Language barriers;Communication problems
795.0;Lack of leadership;Lack of management
795.0;Lack of a well-defined RE process;Insufficient development process
795.0;Insufficient information;Lack of knowledge
819.0;Poor project management;Lack of management
819.0;Lack of time;Lack of management
819.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
819.0;Thinking in legacy systems;Lack of common understanding about goals
819.0;Insufficient information;Lack of knowledge
825.0;Miscommunication between RE team;Communication problems
825.0;Lack of leadership;Lack of management
830.0;Missing IT project experience at customer side;Lack of knowledge
830.0;Poor project management;Lack of management
830.0;Inability to specify measurable non-functional requirements;Lack of knowledge
831.0;Customer does not know what he wants;Lack of knowledge
845.0;Thinking in legacy systems;Lack of common understanding about goals
847.0;Missing concentration on business needs;Lack of involvement within the team
847.0;Missing completeness check of requirements;Process execution defects
847.0;Lack of requirements management;Lack of management
847.0;Process doesn't allow for innovation;Insufficient development process
847.0;Lack of a well-defined RE process;Insufficient development process
849.0;Conflict of interests at customer side;Lack of common understanding about goals
849.0;Customer does not know what he wants;Lack of knowledge
849.0;Missing concentration on business needs;Lack of involvement within the team
849.0;Unclear business needs;Lack of common understanding about goals
851.0;Unclear roles and responsibilities at customer side;Lack of management
851.0;Missing customer involvement;Lack of involvement from the customer
851.0;Missing technical knowledge;Lack of knowledge
851.0;Subjective interpretations;Human factors
851.0;Strict time schedule by customer;Lack of management
856.0;Unexpected changes in requirements;Moving targets
856.0;Lack of experience of RE team members;Lack of knowledge
856.0;Missing customer involvement;Lack of involvement from the customer
856.0;Insufficient collaboration in process;Process execution defects
856.0;Lack of time;Lack of management
856.0;Missing completeness check of requirements;Process execution defects
857.0;Complexity of domain;High complexity of projects
864.0;Insufficient collaboration in process;Process execution defects
864.0;Unclear project scope;Lack of management
864.0;Lack of experience of RE team members;Lack of knowledge
864.0;Weak qualification of RE team members;Lack of knowledge
864.0;Lack of interest about customers domain;Human factors
865.0;Missing concentration on business needs;Lack of involvement within the team
865.0;Poor project management;Lack of management
865.0;Lack of interest about customers domain;Human factors
865.0;Missing technical knowledge;Lack of knowledge
865.0;Unclear business needs;Lack of common understanding about goals
868.0;Lack of experience of RE team members;Lack of knowledge
868.0;Communication flaws between team and customer;Communication problems
868.0;Lack of time;Lack of management
868.0;Lack of experience of RE team members;Lack of knowledge
868.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
868.0;Lack of time;Lack of management
870.0;Weak qualification of RE team members;Lack of knowledge
870.0;Missing IT project experience at customer side;Lack of knowledge
870.0;Lack of experience of RE team members;Lack of knowledge
870.0;Lack of experience of RE team members;Lack of knowledge
870.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
876.0;Lack of time;Lack of management
876.0;Missing domain knowledge;Lack of knowledge
876.0;Missing IT project experience at customer side;Lack of knowledge
876.0;Solution orientation;Insufficient development process
876.0;Poor requirements elicitation techniques;Insufficient development process
879.0;Rework;Changing project characteristics
879.0;Missing solution approach;Insufficient development process
879.0;Unclear terminology;Communication problems
879.0;Requirements remain too abstract;Process execution defects
879.0;Poor project management;Lack of management
880.0;Missing IT project experience at customer side;Lack of knowledge
880.0;Thinking in legacy systems;Lack of common understanding about goals
880.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
880.0;Volatile industry segment that leads to changes;Changing project characteristics
880.0;Poor project management;Lack of management
889.0;Missing engagement by customer;Lack of engagement
894.0;Subjective interpretations;Human factors
894.0;Rework;Changing project characteristics
894.0;Rework;Changing project characteristics
894.0;Lack of change management at customer side;Lack of management
894.0;Inability to specify measurable non-functional requirements;Lack of knowledge
896.0;Lack of experience of RE team members;Lack of knowledge
896.0;Gold plating;Process execution defects
896.0;Missing domain knowledge;Lack of knowledge
900.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
900.0;Poor requirements elicitation techniques;Insufficient development process
900.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
900.0;Missing domain knowledge;Lack of knowledge
901.0;Not following the communication plan;Process execution defects
901.0;Too high team distribution;Lack of management
901.0;Missing engagement by customer;Lack of engagement
901.0;Complexity of project;High complexity of projects
901.0;Missing customer involvement;Lack of involvement from the customer
909.0;Poor requirements elicitation techniques;Insufficient development process
909.0;Poor project management;Lack of management
909.0;Lack of leadership;Lack of management
909.0;Lack of experience of RE team members;Lack of knowledge
909.0;Lack of interest about customers domain;Human factors
909.0;Lack of interest about customers domain;Human factors
910.0;Insufficient resources;Lack of management
910.0;Weak qualification of RE team members;Lack of knowledge
910.0;Missing tool support;Insufficient development process
910.0;Lack of experience of RE team members;Lack of knowledge
912.0;Lack of time;Lack of management
912.0;Communication flaws between team and customer;Communication problems
912.0;Missing domain knowledge;Lack of knowledge
912.0;Insufficient information;Lack of knowledge
912.0;Missing prioritization by customer;Process execution defects
916.0;Missing RE awareness at team side;Lack of RE awareness
916.0;Gold plating;Process execution defects
916.0;Lack of experience of RE team members;Lack of knowledge
916.0;Customer does not know what he wants;Lack of knowledge
916.0;Missing direct communication to customer;Communication problems
917.0;Stakeholder fluctuation;Changing project characteristics
917.0;Missing engagement by customer;Lack of engagement
917.0;Lack of time;Lack of management
917.0;Lack of time;Lack of management
917.0;Lack of a well-defined RE process;Insufficient development process
