lfdn;67_old;67_new
1266;2;1 to 5
1273;30;21 to 50
1275;5;1 to 5
1279;10;6 to 10
1283;10;6 to 10
1284;10;6 to 10
1288;6;6 to 10
1289;20;11 to 20
1290;4;1 to 5
1291;10;6 to 10
1296;5;1 to 5
1316;15;11 to 20
1321;7;6 to 10
1327;8;6 to 10
1329;10;6 to 10
1331;6;6 to 10
1339;5;1 to 5
1340;100;more than 50
1341;50;21 to 50
1343;45;21 to 50
1344;160;more than 50
1347;7;6 to 10
1348;5;1 to 5
1349;6;6 to 10
1350;50;21 to 50
1351;4;1 to 5
1352;6;6 to 10
1353;6;6 to 10
1354;15;11 to 20
1355;5;1 to 5
1356;4;1 to 5
1357;4;1 to 5
1358;3;1 to 5
1359;4;1 to 5
1360;3;1 to 5
1376;5;1 to 5
1383;Alrededor de 80;more than 50
1384;4;1 to 5
1398;4;1 to 5
1402;8;6 to 10
1403;44256;more than 50
1406;400;more than 50
1408;6;6 to 10
1411;15;11 to 20
1413;17;11 to 20
1415;7;6 to 10
1416;3;1 to 5
1417;4;1 to 5
1419;8;6 to 10
1422;10;6 to 10
1423;6;6 to 10
1424;10;6 to 10
1425;8;6 to 10
1426;40;21 to 50
1428;5;1 to 5
1433;20;11 to 20
1435;7;6 to 10
1441;50;21 to 50
1449;8;6 to 10
1454;12;11 to 20
1455;65;more than 50
1457;5;1 to 5
1458;3;1 to 5
1459;4;1 to 5
1460;12;11 to 20
1461;6;6 to 10
1462;4;1 to 5
1466;8;6 to 10
1467;20;11 to 20
1473;8;6 to 10
1474;14;11 to 20
1477;5;1 to 5
1482;50;21 to 50
1483;5;1 to 5
1484;6;6 to 10
1485;6;6 to 10
1486;2;1 to 5
1487;9;6 to 10
1526;18;11 to 20
1542;30;21 to 50
1560;15;11 to 20
1617;30;21 to 50
1618;30;21 to 50
1620;50;21 to 50
1621;20;11 to 20
1624;6;6 to 10
1633;120;more than 50
1645;4;1 to 5
1650;14;11 to 20
1651;10;6 to 10
1663;20;11 to 20
1665;20;11 to 20
1666;10;6 to 10
1667;20;11 to 20
1668;60;more than 50
1669;50;21 to 50
1670;60;more than 50
1675;7;6 to 10
1676;6;6 to 10
1688;10;6 to 10
1690;7;6 to 10
1695;3;1 to 5
1697;20;11 to 20
1698;8;6 to 10
1699;6;6 to 10
1700;10;6 to 10
1703;8;6 to 10
1705;4;1 to 5
1715;6;6 to 10
1717;4;1 to 5
1718;50+;more than 50
1723;4;1 to 5
1727;5;1 to 5
1733;2;1 to 5
1741;60;more than 50
1742;5;1 to 5
1744;5;1 to 5
1751;3;1 to 5
1753;10;6 to 10
1755;40;21 to 50
1756;8;6 to 10
1759;2;1 to 5
1761;1;1 to 5
1762;40;21 to 50
1763;100-200;more than 50
1767;7;6 to 10
1791;20;11 to 20
1804;3;1 to 5
1805;4;1 to 5
1810;80;more than 50
1812;6;6 to 10
1820;150;more than 50
1828;2;1 to 5
1831;10;6 to 10
1840;20;11 to 20
1842;40;21 to 50
1844;9;6 to 10
1849;9;6 to 10
1859;5;1 to 5
1861;50;21 to 50
1862;5;1 to 5
1894;10;6 to 10
1895;6;6 to 10
1896;2;1 to 5
1899;10;6 to 10
1909;na realiza̤̣o do projeto, 5, sem contar com clientes;1 to 5
1911;15;11 to 20
1917;24;21 to 50
1918;20;11 to 20
1922;40;21 to 50
1923;7;6 to 10
1928;6;6 to 10
1929;20;11 to 20
1931;10;6 to 10
1932;3;1 to 5
1933;12;11 to 20
1941;20;11 to 20
1957;8;6 to 10
1961;15;11 to 20
1962;8;6 to 10
1963;10;6 to 10
1965;10;6 to 10
1969;Depends on Project.  Usually > 10 and < 100.  Most often between 20-40.;21 to 50
