lfdn;Problem;Cause;tag;Rank;Source Id;Target Id;HumanRelated;Category;Discussion needed
81;Weak access to customer needs and / or (internal) business information;Distribution of customersNotCodableproviders;Too high team distribution;4;122;17;;;
82;Communication flaws within the project team;It effects to close on project on time. ;Lack of requirements management;2;65;1;;;
91;Communication flaws between the project and the customer;distributed locations (customer/project team);Too high team distribution;2;122;0;;;
91;Incomplete or hidden requirements;few time for elaboration;Lack of time;1;67;4;;;
91;Stakeholders with difficulties in separating requirements from previously known solution designs;don't know;Customer does not know what he wants;3;34;10;;;
93;Incomplete or hidden requirements;"not able te see the total process; history of former system; ";Missing of a global view of the system;4;91;4;;;
93;Inconsistent requirements;"no uniform processes; lack of knowledge of the own process";Unclear business needs;3;126;5;;;
93;Moving targets (changing goals, business processes and / or requirements);"no uniform processes; organization in transition/new board of directors";Lack of a well-defined RE process;1;56;9;;;
93;Unclear / unmeasurable non-functional requirements;"lack of knowledge; general dissatisfaction";Lack of experience of RE team members;2;61;14;;;
97;Terminological problems;Many undocumented abbreviations;Unclear terminology;5;130;12;;;
97;Time boxing / Not enough time in general;Budget;High cost;3;40;13;;;
97;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;No standardized processes;Missing company wide standard;1;78;16;;;
97;Weak access to customer needs and / or (internal) business information;Project members participate while doing their daily business. ;Missing RE awareness at team side;2;95;17;;;
106;Communication flaws between the project and the customer;Lack of quality time;Workload of customer;3;138;0;;;
106;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;No quality validation;Lack of a well-defined RE process;4;56;2;;;
106;Insufficient support by customer;Business operations;Missing access to business needs;2;74;6;;;
106;Terminological problems;Lack of quality time;Lack of time;5;67;12;;;
106;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Business complexity;High complexity in overall project setting;1;39;16;;;
114;Communication flaws within the project team;lack of information about writing requirements on system and sw level;Missing requirements specification template;2;96;1;;;
114;Stakeholders with difficulties in separating requirements from previously known solution designs;requirements with similar content on all levels;Requirements remain too abstract;1;111;10;;;
118;Time boxing / Not enough time in general;many diferent projects at the same time;Poor project management;1;106;13;;;
119;Incomplete or hidden requirements;customer unaware of design issues;Missing customer involvement;2;81;4;;;
119;Inconsistent requirements;customer unaware of design issues;Missing knowledge about development framework;3;88;5;;;
119;Missing traceability;not being required to trace requirements;Lack of a well-defined RE process;1;56;8;;;
119;Moving targets (changing goals, business processes and / or requirements);customer unaware of design issues;Missing technical knowledge;4;98;9;;;
119;Underspecified requirements that are too abstract and allow for various interpretations;customer not communicating wider system design issues;Poor requirements elicitation techniques;5;107;15;;;
120;Communication flaws between the project and the customer;"Geographic ; contract";Too high team distribution;1;122;0;;;
120;Stakeholders with difficulties in separating requirements from previously known solution designs;Reuse approach;Solution orientation;3;114;10;;;
120;Technically unfeasible requirements;Lack of technical studies;Lack of training;5;68;11;;;
120;Unclear / unmeasurable non-functional requirements;Lack of precise knowledge on operations;Customer does not know what he wants;4;34;14;;;
120;Weak relationship between customer and project lead;"Geographic ; contract";Inappropriate definition of contract;2;44;19;;;
126;Communication flaws between the project and the customer;Lack of product dev knowledge;Complexity of domain;5;24;0;;;
126;Communication flaws between the project and the customer;Lack of product dev knowledge;Lack of experience of RE team members;5;61;0;;;
126;Incomplete or hidden requirements;Lack of product dev knowledge;Missing knowledge about development framework;1;88;4;;;
126;Moving targets (changing goals, business processes and / or requirements);Lack of product dev knowledge;Missing knowledge about development framework;4;88;9;;;
126;Time boxing / Not enough time in general;Cost reduction Limited staffed;High cost;3;40;13;;;
126;Unclear / unmeasurable non-functional requirements;Lack of product dev knowledge;Lack of experience of RE team members;2;61;14;;;
129;Incomplete or hidden requirements;Insufficient probing to draw out these requirements;Incomplete requirements;3;45;4;;;
129;Terminological problems;Business used different terms to mean the same thing;Unclear terminology;2;130;12;;;
129;Time boxing / Not enough time in general;Customer constraints;Lack of time;4;67;13;;;
129;Unclear / unmeasurable non-functional requirements;Poor understanding of need;Lack of teamwork skills;5;66;14;;;
129;Underspecified requirements that are too abstract and allow for various interpretations;Poor initial understanding of need;Non-functional requirements unclear;1;102;15;;;
141;Stakeholders with difficulties in separating requirements from previously known solution designs;"varying degrees of domain experience; no direct access to SMEs";Missing direct communication to customer;1;82;10;;;
141;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;"business practices; employee transfers; employee terminations";Changing business needs;2;21;16;No;Project organization and management Issues;Yes
141;Weak access to customer needs and / or (internal) business information;there is a layer between SMEs and project team;Communication flaws between team and customer;3;22;17;;;
144;Stakeholders with difficulties in separating requirements from previously known solution designs;many times a solution has been selected before we are engaged (though it may not be the best solution for the problem), and then we are constrained by this;Missing concentration on business needs;2;80;10;;;
144;Technically unfeasible requirements;Anything seems feasible, but technical implementation may be extremely difficult, and engineers tend to underestimate the effort it will take to accomplish something;Missing technical knowledge;3;98;11;;;
144;Time boxing / Not enough time in general;if team members are not 100% allocated to a project, they have a much harder time meeting their commitments to the team due to distractions and other assignments;Insufficient resources;4;53;13;;;
144;Unclear / unmeasurable non-functional requirements;"customers don't usually want to discuss non-functional requirements; customers have great difficulty defining measurements for non-functional requirements";Inability to specify measurable non-functional requirements;1;43;14;;;
144;Weak knowledge about customer's application domain;each of our customers has a unique business interest, and we are consultants so every time we go into a client organization, we have to very quickly learn about their industry and domain (which takes time and can cause some delays);Lack of project management;5;64;18;;;
146;Gold plating (implementation of features without corresponding requirements);bad cooperation, no requirements engineer in the team, they think it is not needed in agile development. ;Unavailability of requirements engineer;1;124;3;;;
146;Incomplete or hidden requirements;bad communication ;Lack of communication channels;2;58;4;;;
146;Underspecified requirements that are too abstract and allow for various interpretations;to far distance between user and developer;Communication flaws between team and customer;4;22;15;;;
146;Weak knowledge about customer's application domain;think they can make do without the user. WRONG!;Missing customer involvement;3;81;18;;;
147;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Roles and responsibilities are unclear;Poor project management;3;106;2;;;
147;Incomplete or hidden requirements;Project goal is unclear;Poor requirements elicitation techniques;2;107;4;;;
147;Moving targets (changing goals, business processes and / or requirements);Project goal is unclear;Unclear business needs;1;126;9;;;
147;Underspecified requirements that are too abstract and allow for various interpretations;Project goal is unclear;Complexity of project;5;25;15;;;
147;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Roles and responsibilities are unclear;Unclear roles and responsonsibilities at customer side;4;129;16;;;
149;Communication flaws within the project team;Undersetimation of communication needs;Miscommunication between RE team;1;73;1;;;
149;Moving targets (changing goals, business processes and / or requirements);Lack of hard project management;Poor project management;3;106;9;;;
149;Stakeholders with difficulties in separating requirements from previously known solution designs;It is easyer to discuss solutions (how), instead of the needs (what);Solution orientration;2;115;10;;;
149;Time boxing / Not enough time in general;organisational issues;Lack of time;4;67;13;;;
149;Weak access to customer needs and / or (internal) business information;to many people in the communication line, RE engineers have no direwct access to customer;Missing direct communication to customer;5;82;17;;;
150;Communication flaws between the project and the customer;Communication styles and misinterpretations;Communication flaws between team and customer;3;22;0;Yes;Communication Issues;No
150;Communication flaws within the project team;Individual resources and differences in work ethic;Conflicts of personalities;4;32;1;;;
150;Incomplete or hidden requirements;Not enough time and support from the vendor to explore and document all the detailed system requirements ;Incomplete requirements;5;45;4;;;
150;Time boxing / Not enough time in general;Not enough time was allocated to requirements review with the vendor and solution design ;Missing completeness check of requirements;2;79;13;;;
150;Underspecified requirements that are too abstract and allow for various interpretations;Detailed requirements are documented prior to the solution being chosen / determined.;Lack of experience of RE team members;1;61;15;;;
160;Communication flaws between the project and the customer;project does not ask the customer WHY or what is the BENEFIT of customers requirements;Communication flaws between team and customer;4;22;0;;;
160;Insufficient support by customer;too expensive;High cost;3;40;6;;;
160;Insufficient support by project lead;they don't see the effort;Missing customer involvement;2;81;7;;;
160;Stakeholders with difficulties in separating requirements from previously known solution designs;"missing methodology knowledge; problems to abstract problems";Lack of a well-defined RE process;1;56;10;;;
163;Communication flaws within the project team;misogynistic development team;Conflicts of personalities;1;32;1;;;
163;Incomplete or hidden requirements;"Previous business analyst inexperienced; previous BA bullied by development team";Lack of experience of RE team members;3;61;4;;;
163;Insufficient support by project lead;"Project lead is absent at best; only communicates once per week if that";Missing IT project experience at customer side;2;87;7;;;
163;Missing traceability;Previous business analyst did not think it necessary;Lack of a well-defined RE process;4;56;8;;;
163;Weak relationship between customer and project lead;Project lead tells customer one thing, does the opposite. ;Lack of leadership;5;63;19;;;
165;Communication flaws between the project and the customer;lack of methodology for collecting requirements;Lack of experience of RE team members;5;61;0;;;
165;Communication flaws within the project team;lack of methodology for collecting requirements;Poor requirements elicitation techniques;4;107;1;;;
165;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;time elapse between specification writing and commissioning (several years);Insufficient agility;3;46;2;;;
165;Incomplete or hidden requirements;lack of methodology for collecting requirements;Poor requirements elicitation techniques;1;107;4;;;
165;Moving targets (changing goals, business processes and / or requirements);lack of concerns of project stakeholders w.r.t. good project management practices;Lack of project management;2;64;9;;;
167;Communication flaws between the project and the customer;Competence;Lack of experience of RE team members;1;61;0;;;
167;Communication flaws within the project team;Leadership;Lack of leadership;4;63;1;;;
167;Stakeholders with difficulties in separating requirements from previously known solution designs;Competence;Lack of experience of RE team members;3;61;10;;;
167;Time boxing / Not enough time in general;Communication;Lack of communication channels;5;58;13;;;
167;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Leadership;Lack of leadership;2;63;16;;;
168;Communication flaws within the project team;No one wants to look stupid, so people refrain from asking questions.;SE Team refrains from asking questions;1;113;1;;;
168;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;The project design is ambitious to the point that it neglects implementation details.;Complexity of project;4;25;2;;;
168;Moving targets (changing goals, business processes and / or requirements);The project lacks a clear goal.;Complexity of project;5;25;9;;;
168;Time boxing / Not enough time in general;The project's unclear demands make the workload difficult to guage.;Unclear business needs;3;126;13;;;
168;Underspecified requirements that are too abstract and allow for various interpretations;People in this project have research backgrounds with little practical experience.;Lack of experience of RE team members;2;61;15;;;
170;Inconsistent requirements;scarce documentation;Missing documentation;3;83;5;;;
170;Moving targets (changing goals, business processes and / or requirements);customers change their wishes;Volatile requirements;4;134;9;;;
170;Time boxing / Not enough time in general;sprint too ambitious;Poor project management;1;106;13;;;
170;Unclear / unmeasurable non-functional requirements;not enough documentation;Incomplete requirements;2;45;14;;;
170;Weak knowledge about customer's application domain;no communication with customer;Missing communication to customer side;5;77;18;;;
178;Communication flaws between the project and the customer;incorporation of customer (should be PO) not working;Missing direct communication to customer;1;82;0;;;
178;Incomplete or hidden requirements;given by external loosy documented system;Documentation overhead;2;37;4;;;
179;Communication flaws between the project and the customer;The language used is not compatible;Language barriers;1;70;0;;;
179;Inconsistent requirements;Because the client does not know what he/she wants;Customer does not know what he wants;4;34;5;;;
179;Insufficient support by customer;Do not provide enough information;Missing customer involvement;3;81;6;;;
179;Weak access to customer needs and / or (internal) business information;Do not provide enough information;Insufficient information;5;49;17;;;
179;Weak knowledge about customer's application domain;There are special processes within customer needs;Lack of communication channels;2;58;18;;;
182;Missing traceability;Not having a disciplined approach ;Lack of a well-defined RE process;2;56;8;;;
182;Terminological problems;Software required;Poor project management;5;106;12;;;
182;Underspecified requirements that are too abstract and allow for various interpretations;Unclear ;Non functional requirements unclear;1;101;15;;;
182;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Changing;Volatile requirements;3;134;16;;;
188;Communication flaws between the project and the customer;The Product Owner have zero Technical Knowledge and does not understand important decisions that need to be taken.;Missing technical knowledge;3;98;0;;;
188;Gold plating (implementation of features without corresponding requirements);The fast moving market in which the Product operates, requires fast changes.;Volatile industry segment that leads to changes;4;133;3;;;
188;Incomplete or hidden requirements;Lack from Product Owner to answer important questions that would clarify Requirements.;Lack of communication channels;2;58;4;;;
188;Moving targets (changing goals, business processes and / or requirements);Lack of clear view by Product Owner;Unclear business needs;1;126;9;;;
188;Technically unfeasible requirements;The want to copy specific features from other products that can not fit in the current System Infrastructure.;Lack of creativity;5;59;11;;;
199;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;People who do not believe in process try to find ways around the process ;Missing involvement of developers;2;86;2;;;
199;Incomplete or hidden requirements;Insufficient time spent in elicitation development and lack of proper review;Insufficient analysis at the beginning of the project;4;47;4;;;
199;Inconsistent requirements;Insufficient time spent in development and lack of proper review;Lack of requirements management;5;65;5;;;
199;Insufficient support by project lead;Support for these shortcuts;Poor project management;3;106;7;;;
199;Time boxing / Not enough time in general;Result in an imeatiate search for short-cuts;Poor project management;1;106;13;;;
203;Insufficient support by project lead;Answer same with the above;Poor project management;3;106;7;;;
203;Insufficient support by project lead;They did not give the requirements engineer the conclusion they informally arrived at with the customer.;Subjective interpretations;1;119;7;;;
205;Missing traceability;combination of Moving Targets and BAs (an PMs) without power to enforce rational process;Weak qualification of stakeholders;3;137;8;;;
205;Moving targets (changing goals, business processes and / or requirements);"academic freedom; lack of accountability; no ROI analysis required";Lack of project management;2;64;9;;;
205;Stakeholders with difficulties in separating requirements from previously known solution designs;"Influenced by  salesmen  before fully defining requirements; egos";Missing concentration on business needs;1;80;10;;;
208;Communication flaws between the project and the customer;too many customers, located distributed and doing cockfights behind the scenes.;Conflict of interests at customer side;2;28;0;;;
208;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;see timeboxing;Lack of time;3;67;2;;;
208;Stakeholders with difficulties in separating requirements from previously known solution designs;"legacy software was used more than 20 years without updates;they don't want to know  modern  ways of doing things";Thinking in legacy systems;1;121;10;;;
208;Technically unfeasible requirements;legacy software is still the king and missing knowledge about the basic facts;Lack of creativity;5;59;11;;;
208;Time boxing / Not enough time in general;"too many iterations without reviewing/approving results; changing/swapping teams; overrun the budget long ago";Customer does not formally approve the requirements;4;33;13;;;
210;Incomplete or hidden requirements;lack of requirements gathering;Poor requirements elicitation techniques;1;107;4;;;
210;Inconsistent requirements;requirements are not well taken;Lack of experience of RE team members;3;61;5;;;
210;Insufficient support by project lead;He / She lacks time to complete many tasks;Lack of time;2;67;7;;;
213;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Probably the reason is a missing understanding of technical realization;Missing solution approach;4;97;2;;;
213;Insufficient support by customer;There is situations where customer representatives are too busy or less interested;Insufficient collaboration in process;5;48;6;;;
213;Insufficient support by customer;There is situations where customer representatives are too busy or less interested;Lack of time;5;67;6;;;
213;Terminological problems;Business use different terms in process and those are different from terms used in solutions;Unclear terminology;2;130;12;;;
213;Time boxing / Not enough time in general;In our case business representatives requirements and tasks submission is delayed.;Not following the communication plan;1;103;13;;;
213;Underspecified requirements that are too abstract and allow for various interpretations;High level of requirements.  Business representatives and business project manager sometimes do not consider all related issues and requirements;Requirements remain too abstract;3;111;15;;;
215;Communication flaws within the project team;different parties involved, separated team locations;Too high team distribution;2;122;1;;;
215;Gold plating (implementation of features without corresponding requirements);individuals have stronger voice and push their needs over other stakeholders, missing understanding of (financial / time) impact of individual requests;Conflicting stakeholder viewpoints;4;31;3;;;
215;Incomplete or hidden requirements;stakeholders have not been asked sufficiently / from different perspectives, time pressure to compete requirements gathering;Pressure to not exceed priminarily defined resources;1;108;4;;;
215;Unclear / unmeasurable non-functional requirements;NFR have not been documented, NFR are not being adressed by business analysts as they are always vague, individual expectaions have not been consolidated;Non-functional requirements unclear;3;102;14;;;
217;Communication flaws between the project and the customer;poor user knowledge;Missing domain knowledge;1;84;0;;;
217;Gold plating (implementation of features without corresponding requirements);poor skill;Lack of teamwork skills;5;66;3;;;
217;Stakeholders with difficulties in separating requirements from previously known solution designs;poor communication;Communication flaws between team and customer;3;22;10;;;
217;Terminological problems;lack of domain knowledge;Missing domain knowledge;2;84;12;;;
217;Weak knowledge about customer's application domain;inadequate time;Lack of time;4;67;18;;;
230;Incomplete or hidden requirements;Due to the nature of the culture, some requirements are met (technically) yet many times the customer expected a higher degree of quality. (i.e. Taking measurements of time with minutes and seconds yet customer was expecting seconds, milliseconds,, etc). ;High quality expectation of customer;1;41;4;;;
230;Missing traceability;Many times, requirements are ported from previous projects and sometimes, the requirements cannot be traced to features or statement of work. Many times, it turns out the requirement is an internal quality the product should have. ;Lack of a well-defined RE process;2;56;8;;;
230;Terminological problems;Many words get lost in translation and are difficult to decipher. ;Unclear terminology;4;130;12;;;
230;Underspecified requirements that are too abstract and allow for various interpretations;Some requirements require experience in the field to be able to complete them. Therefore when someone is new to the project they have a bigger learning curve.;Missing domain knowledge;3;84;15;;;
230;Weak knowledge about customer's application domain;As an engineer, I don't always deal with the customer and when I receive the requirements, I do not know why is the requirement even needed. Knowing a little more background always helps me create better implementation.;Lack of requirements management;5;65;18;;;
231;Communication flaws within the project team;Immature organizational culture;Lack of experience of RE team members;5;61;1;;;
231;Terminological problems;Inexperienced team members in RE;Lack of experience of RE team members;3;61;12;;;
231;Time boxing / Not enough time in general;Immature organizational culture;Lack of experience of RE team members;4;61;13;;;
231;Unclear / unmeasurable non-functional requirements;Inexperienced team members in RE;Lack of experience of RE team members;2;61;14;;;
231;Underspecified requirements that are too abstract and allow for various interpretations;Inexperienced team members in RE;Lack of experience of RE team members;1;61;15;;;
239;Incomplete or hidden requirements;Same as above ;Lack of experience of RE team members;3;61;4;;;
239;Moving targets (changing goals, business processes and / or requirements);Requirements are not clear at the beginning;Insufficient analysis at the beginning of the project;1;47;9;;;
239;Time boxing / Not enough time in general;There is overall not enough time and value for requirements in the company ;Missing customer involvement;2;81;13;;;
249;Communication flaws between the project and the customer;Customers don't know their role and responsibilities;Unclear roles and responsonsibilities at customer side;4;129;0;;;
249;Communication flaws within the project team;"Lots of egos; Each member comes from a different background";Conflict of personalities;3;30;1;;;
249;Terminological problems;Everyone comes from a different background;Missing domain knowledge;5;84;12;;;
249;Time boxing / Not enough time in general;School projects have deadline in order to get grade;Lack of discipline;2;60;13;;;
249;Weak knowledge about customer's application domain;Every project is different;Changing business needs;1;21;18;Yes;Knowledge Issues;Yes
258;Communication flaws between the project and the customer;due to time needed for discussion which needs to be payed we try to fromulate requirements deeply ;Lack of time;2;67;0;;;
258;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;need to assign budgets for too long periods (old way of thinking), rather volatile and unclear ideas of what customer wants and needs so prototypes needed to dicuss and go further;Unclear business needs;1;126;2;;;
259;Communication flaws between the project and the customer;Requirement mismatch;Poor requirements elicitation techniques;2;107;0;;;
259;Gold plating (implementation of features without corresponding requirements);waste of time;Demotivation;5;35;3;;;
259;Gold plating (implementation of features without corresponding requirements);waste of time;Demotivation;5;35;3;;;
259;Moving targets (changing goals, business processes and / or requirements);Hierarchical relationship;Complexity of project;1;25;9;;;
259;Terminological problems;misunderstand;Missing domain knowledge;3;84;12;;;
259;Unclear / unmeasurable non-functional requirements;misunderstand;Insufficient analysis at the beginning of the project;4;47;14;;;
263;Communication flaws between the project and the customer;"time issues; complexity; different understanding of issues/definitions";Lack of time;4;67;0;;;
263;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;"corrupt processes; resistance to change";Missing willingless to change;2;100;2;;;
263;Incomplete or hidden requirements;"weak processes; complexity of project";Complexity of project;3;25;4;;;
263;Inconsistent requirements;complexity of project (lack of understanding the objectives and constraints);Complexity of project;5;25;5;;;
263;Time boxing / Not enough time in general;"Late start; weak processes; weak decission making; cultural resistance to change; complexity of project";Poor project management;1;106;13;;;
267;Communication flaws between the project and the customer;Not enough time;Lack of time;3;67;0;;;
267;Incomplete or hidden requirements;Too short time for analyzing, not enough trust full relationship with customers ;Lack of time;1;67;4;;;
267;Technically unfeasible requirements;Not enough communication and analysis ;Miscommunication between RE team;5;73;11;;;
267;Time boxing / Not enough time in general;Planning mistakes ;Poor project management;4;106;13;;;
267;Underspecified requirements that are too abstract and allow for various interpretations;Not enough communication ;Not following the communication plan;2;103;15;;;
268;Incomplete or hidden requirements;Requirements were written long ago;Poor documentation;4;105;4;;;
268;Inconsistent requirements;Too much unspecified requirements;Missing requirements specification template;2;96;5;;;
268;Insufficient support by project lead;Can't overview the stakeholders and their problems ;Customer does not know what he wants;5;34;7;;;
268;Terminological problems;Goals in different teams are not clear;Lack of project management;3;64;12;;;
268;Time boxing / Not enough time in general;Time overruns ;Lack of time;1;67;13;;;
278;Communication flaws between the project and the customer;lack of trust relationship,  lack of communication capability of the project leader, lack of domain knowledge;Insufficient collaboration in process;2;48;0;;;
278;Communication flaws within the project team;lack of leadership capability;Lack of leadership;3;63;1;;;
278;Insufficient support by customer;lack of trust relationship, lack of negotiation;Lack of trust;5;69;6;;;
278;Insufficient support by project lead;lack of leadership capability and responsibility;Lack of leadership;4;63;7;;;
278;Weak relationship between customer and project lead;lack of trust relationship;Lack of trust;1;69;19;;;
283;Incomplete or hidden requirements;is it a requirement or not;Subjective interpretations;4;119;4;;;
283;Missing traceability;test coverage unknown;Lack of experience of RE team members;5;61;8;;;
283;Unclear / unmeasurable non-functional requirements;hard to carry our precise performance testing;Inability to specify measurable non-functional requirements;3;43;14;;;
283;Underspecified requirements that are too abstract and allow for various interpretations;uncertainty of of what should be developed and tested - or how it should function.;Subjective interpretations;2;119;15;;;
291;Moving targets (changing goals, business processes and / or requirements);Lack of vision;Stakeholders lack business vision and understanding;2;117;9;;;
291;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;When something works, managment tries to implement that in the rest of the organisation. Resulting in shuffling of resources and priorities;High complexity in overall project setting;1;39;16;;;
291;Weak access to customer needs and / or (internal) business information;No always allowed to speak directly to the customer;Communication flaws between team and customer;3;22;17;;;
295;Communication flaws between the project and the customer;Absence of sponsor;Weak management at customer side;1;135;0;;;
295;Moving targets (changing goals, business processes and / or requirements);Changing phases of supported programme;Lack of project management;2;64;9;;;
295;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Changing phases of supported programme;Volatile industry segment that leads to changes;3;133;16;;;
295;Weak access to customer needs and / or (internal) business information;Absence of sponsor;Weak management at customer side;4;135;17;;;
297;Communication flaws within the project team;RE is not naturally understood by all.;Missing RE awareness at team side;1;95;1;;;
297;Missing traceability;Missing tools;Missing tool support;2;99;8;;;
297;Moving targets (changing goals, business processes and / or requirements);"Business environment ;work culture";Stakeholders lack business vision and understanding;3;117;9;;;
297;Terminological problems;Communication;Communication flaws between team and customer;4;22;12;;;
297;Time boxing / Not enough time in general;Project planning;Poor project management;5;106;13;;;
304;Communication flaws between the project and the customer;"Time constraints;staff turnover";Strict time schedule by customer;1;118;0;;;
304;Communication flaws between the project and the customer;"Time constraints;staff turnover";Team fluctuation;1;120;0;;;
304;Inconsistent requirements;to many sources or BAs;Many customers;4;71;5;;;
304;Terminological problems;"staff turnover; communication  lazyness ; missing glossar";Unclear terminology;2;130;12;;;
304;Weak access to customer needs and / or (internal) business information;"strong division structure;  silo thinking ";Insufficient agility;3;46;17;;;
304;Weak knowledge about customer's application domain;"staff turnover; consultancy culture";Team fluctuation;5;120;18;;;
310;Insufficient support by customer;busy customer with too many other projects running at the same time;Lack of time;3;67;6;;;
310;Moving targets (changing goals, business processes and / or requirements);internal problem of the customer: many opinions and noone who can decide;Conflict of interests at customer side;1;28;9;;;
310;Time boxing / Not enough time in general;budget not high enough for sufficient time;Complexity of domain;2;24;13;;;
310;Unclear / unmeasurable non-functional requirements;no specific requirements to specify;Customer does not know what he wants;4;34;14;;;
313;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Although all team members are meant to review requirements, time pressure means some team members do not consider them properly.;Lack of time;3;67;2;;;
313;Gold plating (implementation of features without corresponding requirements);Software developers sometimes insert a function they think is useful but which the customer does not want.  Very difficult in requirements to anticipate and specify everything that the product must NOT do.;Missing prioritization by customer;2;92;3;;;
313;Stakeholders with difficulties in separating requirements from previously known solution designs;To meet timelines we have to reuse existing software to meet new customer requirements.  Not everyone understands that the customer expects a bespoke solution, we cannot force them to accept what we have available off the shelf.;Strict time schedule by customer;4;118;10;;;
313;Terminological problems;Separate existing methods of working at the customer and in own company mean we have different terms for similar concepts.;Subjective interpretations;1;119;12;;;
313;Unclear / unmeasurable non-functional requirements;Due to time pressure some non-functional requirements end up being less well specified than the functional requirements.  E.g. a reference to an external document rather than pulling out and specifying individual relevant requirements.;Inability to specify measurable non-functional requirements;5;43;14;;;
317;Time boxing / Not enough time in general;Supplier too optimistic. ;Lack of time;1;67;13;;;
